caseId,startDate,endDate,activity
AW-2022-11-03,2022-11-02 22:26:14,2022-11-02 22:46:14,Core 20 min
AW-2022-11-03,2022-11-02 22:46:44,2022-11-02 23:04:14,Core 20 min
AW-2022-11-03,2022-11-02 23:13:14,2022-11-02 23:48:14,Core 40 min
AW-2022-11-03,2022-11-02 23:55:44,2022-11-03 00:07:14,Core 20 min
AW-2022-11-03,2022-11-03 00:07:14,2022-11-03 00:27:44,Deep 20 min
AW-2022-11-03,2022-11-03 00:36:14,2022-11-03 00:55:14,REM 20 min
AW-2022-11-03,2022-11-03 00:55:14,2022-11-03 01:42:14,Core 40 min
AW-2022-11-03,2022-11-03 02:00:14,2022-11-03 02:33:14,REM 40 min
AW-2022-11-03,2022-11-03 02:33:14,2022-11-03 03:07:14,Core 40 min
AW-2022-11-03,2022-11-03 03:07:14,2022-11-03 03:28:14,Deep 20 min
AW-2022-11-03,2022-11-03 03:36:14,2022-11-03 03:52:14,REM 20 min
AW-2022-11-03,2022-11-03 03:55:44,2022-11-03 04:57:44,Core 60 min
AW-2022-11-03,2022-11-03 04:57:44,2022-11-03 05:12:44,REM 20 min
AW-2022-11-03,2022-11-03 05:13:44,2022-11-03 06:00:44,Core 40 min
AW-2022-11-03,2022-11-03 06:09:14,2022-11-03 06:20:14,Core 20 min
AW-2022-11-04,2022-11-03 22:36:48,2022-11-03 23:10:18,Core 40 min
AW-2022-11-04,2022-11-03 23:10:18,2022-11-03 23:28:48,Deep 20 min
AW-2022-11-04,2022-11-03 23:34:18,2022-11-03 23:49:18,REM 20 min
AW-2022-11-04,2022-11-03 23:49:18,2022-11-04 00:03:48,Core 20 min
AW-2022-11-04,2022-11-04 00:03:48,2022-11-04 00:20:48,Deep 20 min
AW-2022-11-04,2022-11-04 00:20:48,2022-11-04 00:42:18,Core 20 min
AW-2022-11-04,2022-11-04 00:46:48,2022-11-04 00:57:48,Core 20 min
AW-2022-11-04,2022-11-04 00:57:48,2022-11-04 01:36:18,REM 40 min
AW-2022-11-04,2022-11-04 01:36:18,2022-11-04 01:57:18,Core 20 min
AW-2022-11-04,2022-11-04 01:57:18,2022-11-04 02:12:48,Deep 20 min
AW-2022-11-04,2022-11-04 02:12:48,2022-11-04 02:26:48,Core 20 min
AW-2022-11-04,2022-11-04 02:26:48,2022-11-04 02:38:18,Deep 20 min
AW-2022-11-04,2022-11-04 02:43:18,2022-11-04 02:59:18,REM 20 min
AW-2022-11-04,2022-11-04 03:06:18,2022-11-04 04:02:18,Core 60 min
AW-2022-11-04,2022-11-04 04:02:18,2022-11-04 04:34:48,REM 40 min
AW-2022-11-04,2022-11-04 04:34:48,2022-11-04 05:23:48,Core 40 min
AW-2022-11-04,2022-11-04 05:23:48,2022-11-04 05:53:18,REM 20 min
AW-2022-11-04,2022-11-04 05:53:48,2022-11-04 06:19:48,Core 20 min
AW-2022-11-04,2022-11-04 06:20:48,2022-11-04 06:31:18,Core 20 min
AW-2022-11-05,2022-11-05 01:17:36,2022-11-05 01:45:06,Core 20 min
AW-2022-11-05,2022-11-05 02:01:06,2022-11-05 02:13:06,REM 20 min
AW-2022-11-05,2022-11-05 02:13:06,2022-11-05 02:32:06,Core 20 min
AW-2022-11-05,2022-11-05 02:49:06,2022-11-05 03:24:06,Deep 40 min
AW-2022-11-05,2022-11-05 03:28:36,2022-11-05 04:15:06,REM 40 min
AW-2022-11-05,2022-11-05 04:15:06,2022-11-05 05:01:06,Core 40 min
AW-2022-11-05,2022-11-05 05:10:36,2022-11-05 05:44:06,REM 40 min
AW-2022-11-05,2022-11-05 05:44:06,2022-11-05 06:44:36,Core 60 min
AW-2022-11-05,2022-11-05 06:44:36,2022-11-05 07:06:06,REM 20 min
AW-2022-11-05,2022-11-05 07:06:06,2022-11-05 07:49:36,Core 40 min
AW-2022-11-05,2022-11-05 07:51:36,2022-11-05 08:03:36,Core 20 min
AW-2022-11-05,2022-11-05 08:10:06,2022-11-05 08:26:36,Core 20 min
AW-2022-11-07,2022-11-06 22:27:00,2022-11-06 22:48:00,Core 20 min
AW-2022-11-07,2022-11-06 22:48:00,2022-11-06 22:59:00,Deep 20 min
AW-2022-11-07,2022-11-06 22:59:00,2022-11-06 23:11:00,Core 20 min
AW-2022-11-07,2022-11-06 23:45:00,2022-11-07 00:03:30,Core 20 min
AW-2022-11-07,2022-11-07 00:04:30,2022-11-07 00:27:00,Core 20 min
AW-2022-11-07,2022-11-07 00:27:00,2022-11-07 00:52:00,Deep 20 min
AW-2022-11-07,2022-11-07 01:00:30,2022-11-07 01:26:00,REM 20 min
AW-2022-11-07,2022-11-07 01:26:00,2022-11-07 02:26:00,Core 60 min
AW-2022-11-07,2022-11-07 02:26:00,2022-11-07 02:38:30,REM 20 min
AW-2022-11-07,2022-11-07 02:38:30,2022-11-07 02:49:30,Core 20 min
AW-2022-11-07,2022-11-07 02:50:30,2022-11-07 03:29:30,Core 40 min
AW-2022-11-07,2022-11-07 03:29:30,2022-11-07 04:02:30,REM 40 min
AW-2022-11-07,2022-11-07 04:04:00,2022-11-07 04:57:00,Core 60 min
AW-2022-11-07,2022-11-07 05:15:00,2022-11-07 05:48:00,REM 40 min
AW-2022-11-07,2022-11-07 05:48:00,2022-11-07 06:31:00,Core 40 min
AW-2022-11-09,2022-11-08 22:14:51,2022-11-08 22:42:21,Core 20 min
AW-2022-11-09,2022-11-08 22:57:51,2022-11-08 23:36:51,Core 40 min
AW-2022-11-09,2022-11-08 23:38:21,2022-11-08 23:57:51,Core 20 min
AW-2022-11-09,2022-11-08 23:57:51,2022-11-09 00:15:51,REM 20 min
AW-2022-11-09,2022-11-09 00:15:51,2022-11-09 00:45:51,Core 40 min
AW-2022-11-09,2022-11-09 00:54:21,2022-11-09 01:34:21,Deep 40 min
AW-2022-11-09,2022-11-09 01:39:21,2022-11-09 02:01:21,REM 20 min
AW-2022-11-09,2022-11-09 02:03:21,2022-11-09 02:55:21,Core 60 min
AW-2022-11-09,2022-11-09 02:55:21,2022-11-09 03:11:51,REM 20 min
AW-2022-11-09,2022-11-09 03:11:51,2022-11-09 05:11:21,Core 120 min
AW-2022-11-09,2022-11-09 05:11:21,2022-11-09 06:05:21,REM 60 min
AW-2022-11-09,2022-11-09 06:05:21,2022-11-09 06:39:51,Core 40 min
