caseId,startDate,endDate,activity
AW-2022-11-09,2022-11-08 22:14:51,2022-11-08 22:42:21,Core 1
AW-2022-11-09,2022-11-08 22:42:21,2022-11-08 22:46:51,Deep 1
AW-2022-11-09,2022-11-08 22:46:51,2022-11-08 22:48:51,Core 2
AW-2022-11-09,2022-11-08 22:48:51,2022-11-08 22:56:21,Deep 2
AW-2022-11-09,2022-11-08 22:56:21,2022-11-08 22:56:51,Core 3
AW-2022-11-09,2022-11-08 22:56:51,2022-11-08 22:57:51,Awake 1
AW-2022-11-09,2022-11-08 22:57:51,2022-11-08 23:36:51,Core 4
AW-2022-11-09,2022-11-08 23:36:51,2022-11-08 23:38:21,Deep 3
AW-2022-11-09,2022-11-08 23:38:21,2022-11-08 23:57:51,Core 5
AW-2022-11-09,2022-11-08 23:57:51,2022-11-09 00:15:51,REM 1
AW-2022-11-09,2022-11-09 00:15:51,2022-11-09 00:45:51,Core 6
AW-2022-11-09,2022-11-09 00:45:51,2022-11-09 00:49:51,Deep 4
AW-2022-11-09,2022-11-09 00:49:51,2022-11-09 00:54:21,Core 7
AW-2022-11-09,2022-11-09 00:54:21,2022-11-09 01:34:21,Deep 5
AW-2022-11-09,2022-11-09 01:34:21,2022-11-09 01:39:21,Core 8
AW-2022-11-09,2022-11-09 01:39:21,2022-11-09 02:01:21,REM 2
AW-2022-11-09,2022-11-09 02:01:21,2022-11-09 02:03:21,Awake 2
AW-2022-11-09,2022-11-09 02:03:21,2022-11-09 02:55:21,Core 9
AW-2022-11-09,2022-11-09 02:55:21,2022-11-09 03:11:51,REM 3
AW-2022-11-09,2022-11-09 03:11:51,2022-11-09 05:11:21,Core 10
AW-2022-11-09,2022-11-09 05:11:21,2022-11-09 06:05:21,REM 4
AW-2022-11-09,2022-11-09 06:05:21,2022-11-09 06:39:51,Core 11
