caseId,startDate,endDate,activity
AW-2022-11-11,2022-11-10 23:21:21,2022-11-10 23:26:51,Core 0 min
AW-2022-11-11,2022-11-10 23:26:51,2022-11-10 23:31:21,Awake 0 min
AW-2022-11-11,2022-11-10 23:31:21,2022-11-11 00:13:51,Core 45 min
AW-2022-11-11,2022-11-11 00:13:51,2022-11-11 00:19:51,Awake 0 min
AW-2022-11-11,2022-11-11 00:19:51,2022-11-11 00:28:21,Core 15 min
AW-2022-11-11,2022-11-11 00:28:21,2022-11-11 00:40:51,REM 15 min
AW-2022-11-11,2022-11-11 00:40:51,2022-11-11 01:25:21,Core 45 min
AW-2022-11-11,2022-11-11 01:25:21,2022-11-11 01:45:51,Deep 15 min
AW-2022-11-11,2022-11-11 01:45:51,2022-11-11 01:50:51,Core 0 min
AW-2022-11-11,2022-11-11 01:50:51,2022-11-11 02:20:51,REM 30 min
AW-2022-11-11,2022-11-11 02:20:51,2022-11-11 03:13:51,Core 60 min
AW-2022-11-11,2022-11-11 03:13:51,2022-11-11 03:37:21,REM 30 min
AW-2022-11-11,2022-11-11 03:37:21,2022-11-11 04:16:51,Core 45 min
AW-2022-11-11,2022-11-11 04:16:51,2022-11-11 04:25:51,Deep 15 min
AW-2022-11-11,2022-11-11 04:25:51,2022-11-11 04:39:21,Core 15 min
AW-2022-11-11,2022-11-11 04:39:21,2022-11-11 04:49:21,REM 15 min
AW-2022-11-11,2022-11-11 04:49:21,2022-11-11 04:54:51,Core 0 min
AW-2022-11-11,2022-11-11 04:54:51,2022-11-11 05:40:21,REM 45 min
AW-2022-11-11,2022-11-11 05:40:21,2022-11-11 06:30:51,Core 45 min
AW-2022-11-11,2022-11-11 06:30:51,2022-11-11 06:38:21,Awake 0 min
AW-2022-11-11,2022-11-11 06:38:21,2022-11-11 06:39:21,Core 0 min
